,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,Pday,Pmonth,Pyear,Phour,Dday,Dmonth,Dyear,Dhour,trip
597,1,2.06,8.5,1.0,0.0,12.8,yellow,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan,0,3,2019,7,0,3,2019,7,ManhattanManhattan
598,1,0.82,7.0,0.0,0.0,10.3,yellow,cash,Midtown North,Lincoln Square East,Manhattan,Manhattan,1,3,2019,14,1,3,2019,14,ManhattanManhattan
599,1,1.86,9.5,0.0,0.0,12.8,yellow,cash,Upper East Side South,Upper West Side North,Manhattan,Manhattan,3,3,2019,8,3,3,2019,8,ManhattanManhattan
600,3,0.9,6.5,1.0,0.0,10.8,yellow,credit card,Midtown North,Lenox Hill West,Manhattan,Manhattan,6,3,2019,16,6,3,2019,16,ManhattanManhattan
601,6,8.37,28.0,3.81,5.76,41.87,yellow,credit card,SoHo,Midwood,Manhattan,Brooklyn,1,3,2019,19,1,3,2019,20,ManhattanBrooklyn
602,5,1.7,8.0,0.0,0.0,12.3,yellow,cash,Two Bridges/Seward Park,Gramercy,Manhattan,Manhattan,3,3,2019,17,3,3,2019,17,ManhattanManhattan
603,5,2.07,9.5,2.66,0.0,15.96,yellow,credit card,SoHo,Kips Bay,Manhattan,Manhattan,6,3,2019,1,6,3,2019,1,ManhattanManhattan
604,1,1.72,8.0,3.39,0.0,14.69,yellow,credit card,Lenox Hill East,Midtown East,Manhattan,Manhattan,6,3,2019,12,6,3,2019,12,ManhattanManhattan
605,1,1.96,10.5,0.0,0.0,14.8,yellow,credit card,Midtown South,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,3,2019,17,0,3,2019,17,ManhattanManhattan
607,1,0.81,5.5,0.0,0.0,8.8,yellow,cash,East Chelsea,West Chelsea/Hudson Yards,Manhattan,Manhattan,4,3,2019,14,4,3,2019,14,ManhattanManhattan
608,2,1.85,10.5,0.0,0.0,13.8,yellow,cash,East Village,Financial District South,Manhattan,Manhattan,1,3,2019,14,1,3,2019,14,ManhattanManhattan
609,1,1.18,7.0,3.09,0.0,13.39,yellow,credit card,Greenwich Village South,Union Sq,Manhattan,Manhattan,3,3,2019,15,3,3,2019,15,ManhattanManhattan
610,5,1.41,11.5,2.96,0.0,17.76,yellow,credit card,Midtown South,East Chelsea,Manhattan,Manhattan,4,3,2019,8,4,3,2019,8,ManhattanManhattan
611,1,4.7,22.5,0.0,0.0,26.3,yellow,cash,Lincoln Square West,Lower East Side,Manhattan,Manhattan,4,3,2019,23,4,3,2019,23,ManhattanManhattan
612,1,14.74,41.53,0.0,5.76,48.09,yellow,credit card,Soundview/Castle Hill,Financial District South,Bronx,Manhattan,0,3,2019,6,0,3,2019,7,BronxManhattan
613,1,0.73,4.5,1.95,0.0,9.75,yellow,credit card,Hudson Sq,Meatpacking/West Village West,Manhattan,Manhattan,5,3,2019,16,5,3,2019,16,ManhattanManhattan
614,1,1.66,11.0,0.0,0.0,15.3,yellow,cash,Lincoln Square East,Midtown East,Manhattan,Manhattan,4,3,2019,17,4,3,2019,17,ManhattanManhattan
615,1,0.41,4.5,1.66,0.0,9.96,yellow,credit card,West Village,Greenwich Village North,Manhattan,Manhattan,6,3,2019,21,6,3,2019,21,ManhattanManhattan
616,2,1.26,10.5,1.38,0.0,15.18,yellow,credit card,Upper East Side North,Lenox Hill West,Manhattan,Manhattan,1,3,2019,13,1,3,2019,13,ManhattanManhattan
617,2,0.82,4.5,1.56,0.0,9.36,yellow,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan,0,3,2019,6,0,3,2019,6,ManhattanManhattan
618,2,1.74,9.0,2.16,0.0,12.96,yellow,credit card,Bloomingdale,Central Harlem North,Manhattan,Manhattan,1,3,2019,19,1,3,2019,19,ManhattanManhattan
619,2,1.23,6.0,1.86,0.0,11.16,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan,2,3,2019,14,2,3,2019,14,ManhattanManhattan
620,5,0.96,7.5,0.0,0.0,10.8,yellow,cash,East Chelsea,Clinton East,Manhattan,Manhattan,5,3,2019,13,5,3,2019,13,ManhattanManhattan
621,1,1.3,7.5,0.0,0.0,11.8,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan,4,3,2019,17,4,3,2019,17,ManhattanManhattan
623,1,7.8,25.5,6.0,0.0,35.3,yellow,credit card,Greenwich Village South,Ridgewood,Manhattan,Queens,0,3,2019,0,0,3,2019,0,ManhattanQueens
624,1,0.31,3.0,1.0,0.0,7.3,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan,1,3,2019,9,1,3,2019,10,ManhattanManhattan
625,1,4.3,17.0,3.0,0.0,23.8,yellow,credit card,East Chelsea,Brooklyn Heights,Manhattan,Brooklyn,4,3,2019,0,4,3,2019,0,ManhattanBrooklyn
626,1,1.3,12.5,3.16,0.0,18.96,yellow,credit card,Midtown North,Midtown South,Manhattan,Manhattan,3,3,2019,13,3,3,2019,13,ManhattanManhattan
627,3,2.35,14.0,3.56,0.0,21.36,yellow,credit card,East Chelsea,Sutton Place/Turtle Bay North,Manhattan,Manhattan,6,3,2019,20,6,3,2019,20,ManhattanManhattan
628,1,2.11,11.5,4.44,0.0,19.24,yellow,credit card,Stuy Town/Peter Cooper Village,West Chelsea/Hudson Yards,Manhattan,Manhattan,5,3,2019,10,5,3,2019,10,ManhattanManhattan
629,1,0.76,5.0,1.32,0.0,10.12,yellow,credit card,Greenwich Village North,Gramercy,Manhattan,Manhattan,3,3,2019,21,3,3,2019,21,ManhattanManhattan
630,5,0.5,5.0,2.49,0.0,10.79,yellow,credit card,Upper West Side South,Lincoln Square West,Manhattan,Manhattan,3,3,2019,15,3,3,2019,15,ManhattanManhattan
631,1,0.34,3.5,0.0,0.0,6.8,yellow,cash,Lenox Hill West,Lenox Hill West,Manhattan,Manhattan,6,3,2019,12,6,3,2019,12,ManhattanManhattan
632,1,0.9,5.5,0.0,0.0,9.3,yellow,cash,West Village,Penn Station/Madison Sq West,Manhattan,Manhattan,5,3,2019,20,5,3,2019,20,ManhattanManhattan
633,1,3.88,18.5,0.0,0.0,21.8,yellow,cash,World Trade Center,Clinton East,Manhattan,Manhattan,4,3,2019,14,4,3,2019,15,ManhattanManhattan
634,2,0.48,4.0,0.0,0.0,7.8,yellow,cash,East Village,Greenwich Village North,Manhattan,Manhattan,4,3,2019,0,4,3,2019,0,ManhattanManhattan
635,2,0.85,7.5,2.16,0.0,12.96,yellow,credit card,Midtown Center,Garment District,Manhattan,Manhattan,3,3,2019,11,3,3,2019,11,ManhattanManhattan
636,1,1.52,7.5,2.26,0.0,13.56,yellow,credit card,East Village,Meatpacking/West Village West,Manhattan,Manhattan,1,3,2019,23,2,3,2019,0,ManhattanManhattan
637,5,8.04,27.0,6.16,0.0,36.96,yellow,credit card,Greenwich Village South,Central Harlem,Manhattan,Manhattan,1,3,2019,22,1,3,2019,22,ManhattanManhattan
638,1,2.25,13.0,0.0,0.0,13.8,yellow,cash,Sunnyside,Elmhurst,Queens,Queens,3,3,2019,14,3,3,2019,14,QueensQueens
639,1,1.9,11.0,1.5,0.0,16.8,yellow,credit card,Penn Station/Madison Sq West,Lincoln Square East,Manhattan,Manhattan,1,3,2019,18,1,3,2019,18,ManhattanManhattan
640,1,1.8,10.5,2.76,0.0,16.56,yellow,credit card,Midtown South,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,3,2019,10,0,3,2019,10,ManhattanManhattan
642,2,0.9,7.5,2.95,0.0,14.75,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,1,3,2019,18,1,3,2019,18,ManhattanManhattan
643,1,1.6,13.5,3.56,0.0,21.36,yellow,credit card,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan,3,3,2019,16,3,3,2019,16,ManhattanManhattan
644,2,0.3,3.0,2.0,0.0,8.8,yellow,credit card,Lenox Hill East,Yorkville West,Manhattan,Manhattan,5,3,2019,21,5,3,2019,21,ManhattanManhattan
645,2,0.82,8.0,2.26,0.0,13.56,yellow,credit card,Sutton Place/Turtle Bay North,Midtown East,Manhattan,Manhattan,2,3,2019,10,2,3,2019,10,ManhattanManhattan
646,1,5.21,19.5,4.76,0.0,28.56,yellow,credit card,Gramercy,Yorkville West,Manhattan,Manhattan,1,3,2019,19,1,3,2019,19,ManhattanManhattan
647,1,2.78,18.0,0.0,0.0,21.3,yellow,cash,Lenox Hill East,Clinton East,Manhattan,Manhattan,1,3,2019,14,1,3,2019,14,ManhattanManhattan
648,2,0.88,9.0,3.08,0.0,15.38,yellow,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan,3,3,2019,11,3,3,2019,12,ManhattanManhattan
649,1,2.27,11.0,2.96,0.0,17.76,yellow,credit card,Midtown South,Lenox Hill West,Manhattan,Manhattan,1,3,2019,20,1,3,2019,20,ManhattanManhattan
650,1,0.9,9.0,1.0,0.0,13.3,yellow,credit card,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan,0,3,2019,14,0,3,2019,15,ManhattanManhattan
651,1,6.34,27.5,6.0,0.0,36.8,yellow,credit card,Penn Station/Madison Sq West,East Williamsburg,Manhattan,Brooklyn,5,3,2019,17,5,3,2019,18,ManhattanBrooklyn
652,1,1.2,8.0,1.5,0.0,12.8,yellow,credit card,Lincoln Square East,Midtown North,Manhattan,Manhattan,4,3,2019,8,4,3,2019,8,ManhattanManhattan
653,1,1.23,7.0,2.06,0.0,12.36,yellow,credit card,West Village,West Chelsea/Hudson Yards,Manhattan,Manhattan,4,3,2019,10,4,3,2019,10,ManhattanManhattan
654,1,0.43,6.0,1.86,0.0,11.16,yellow,credit card,Penn Station/Madison Sq West,Flatiron,Manhattan,Manhattan,5,3,2019,14,5,3,2019,15,ManhattanManhattan
655,1,1.18,8.0,0.0,0.0,11.3,yellow,cash,Gramercy,Greenwich Village South,Manhattan,Manhattan,2,3,2019,13,2,3,2019,13,ManhattanManhattan
656,1,0.86,6.5,2.16,0.0,12.96,yellow,credit card,East Village,Greenwich Village North,Manhattan,Manhattan,2,3,2019,17,2,3,2019,17,ManhattanManhattan
658,1,1.5,7.0,1.62,0.0,12.42,yellow,credit card,West Village,Little Italy/NoLiTa,Manhattan,Manhattan,5,3,2019,3,5,3,2019,3,ManhattanManhattan
659,1,2.26,9.5,2.76,0.0,16.56,yellow,credit card,Garment District,Sutton Place/Turtle Bay North,Manhattan,Manhattan,4,3,2019,18,4,3,2019,19,ManhattanManhattan
660,1,2.76,16.0,3.86,0.0,23.16,yellow,credit card,Flatiron,Upper East Side South,Manhattan,Manhattan,2,3,2019,12,2,3,2019,12,ManhattanManhattan
661,4,0.74,4.5,1.0,0.0,9.3,yellow,credit card,Meatpacking/West Village West,Meatpacking/West Village West,Manhattan,Manhattan,4,3,2019,0,4,3,2019,0,ManhattanManhattan
662,2,0.9,6.0,0.0,0.0,9.3,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,5,3,2019,14,5,3,2019,14,ManhattanManhattan
663,1,1.31,7.0,2.06,0.0,12.36,yellow,credit card,Midtown South,Greenwich Village North,Manhattan,Manhattan,4,3,2019,14,4,3,2019,14,ManhattanManhattan
664,1,2.3,12.5,3.15,0.0,18.95,yellow,credit card,West Chelsea/Hudson Yards,Lincoln Square East,Manhattan,Manhattan,2,3,2019,13,2,3,2019,13,ManhattanManhattan
665,1,9.8,28.0,0.0,0.0,28.8,yellow,credit card,Central Harlem,Williamsbridge/Olinville,Manhattan,Bronx,6,3,2019,10,6,3,2019,10,ManhattanBronx
666,6,1.75,8.0,1.2,0.0,13.0,yellow,credit card,Midtown North,Lenox Hill East,Manhattan,Manhattan,5,3,2019,0,5,3,2019,0,ManhattanManhattan
667,1,1.63,12.0,3.82,0.0,19.12,yellow,credit card,Lincoln Square West,Upper East Side South,Manhattan,Manhattan,2,3,2019,9,2,3,2019,9,ManhattanManhattan
668,1,4.63,23.0,5.26,0.0,31.56,yellow,credit card,Upper West Side North,Union Sq,Manhattan,Manhattan,5,3,2019,18,5,3,2019,18,ManhattanManhattan
669,1,1.09,6.0,1.2,0.0,10.5,yellow,credit card,Greenwich Village North,Meatpacking/West Village West,Manhattan,Manhattan,4,3,2019,8,4,3,2019,8,ManhattanManhattan
672,1,0.48,4.5,1.56,0.0,9.36,yellow,credit card,Yorkville East,Yorkville East,Manhattan,Manhattan,2,3,2019,15,2,3,2019,15,ManhattanManhattan
673,1,1.8,9.5,0.0,0.0,10.3,yellow,cash,Washington Heights South,University Heights/Morris Heights,Manhattan,Bronx,1,3,2019,12,1,3,2019,12,ManhattanBronx
674,1,2.68,10.5,2.86,0.0,17.16,yellow,credit card,Greenwich Village North,Midtown North,Manhattan,Manhattan,0,3,2019,23,0,3,2019,23,ManhattanManhattan
675,1,5.0,17.5,4.25,0.0,25.55,yellow,credit card,West Village,Upper West Side South,Manhattan,Manhattan,4,3,2019,2,4,3,2019,3,ManhattanManhattan
676,2,17.13,52.0,12.21,5.76,73.27,yellow,credit card,Midtown South,JFK Airport,Manhattan,Queens,3,3,2019,8,3,3,2019,9,ManhattanQueens
677,4,0.55,5.5,0.0,0.0,8.8,yellow,cash,Midtown North,Times Sq/Theatre District,Manhattan,Manhattan,1,3,2019,15,1,3,2019,15,ManhattanManhattan
678,1,1.1,5.5,2.75,0.0,12.05,yellow,credit card,Murray Hill,Midtown East,Manhattan,Manhattan,1,3,2019,20,1,3,2019,20,ManhattanManhattan
679,1,0.91,8.0,2.46,0.0,14.76,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,2,3,2019,17,2,3,2019,17,ManhattanManhattan
680,2,2.05,9.0,2.56,0.0,15.36,yellow,credit card,West Village,Financial District North,Manhattan,Manhattan,2,3,2019,20,2,3,2019,20,ManhattanManhattan
681,1,0.71,4.5,1.11,0.0,9.91,yellow,credit card,West Village,SoHo,Manhattan,Manhattan,0,3,2019,17,0,3,2019,17,ManhattanManhattan
682,1,2.0,10.0,0.0,0.0,14.3,yellow,cash,Upper East Side North,East Harlem North,Manhattan,Manhattan,4,3,2019,16,4,3,2019,16,ManhattanManhattan
683,1,6.03,19.0,4.46,0.0,26.76,yellow,credit card,Lenox Hill West,Financial District North,Manhattan,Manhattan,1,3,2019,7,1,3,2019,7,ManhattanManhattan
684,1,3.15,13.0,3.36,0.0,20.16,yellow,credit card,East Village,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,3,2019,20,0,3,2019,21,ManhattanManhattan
685,1,6.4,19.5,0.0,5.76,26.56,yellow,cash,LaGuardia Airport,Central Harlem North,Queens,Manhattan,2,3,2019,23,2,3,2019,23,QueensManhattan
686,1,3.79,20.0,0.0,0.0,23.3,yellow,cash,East Chelsea,Manhattan Valley,Manhattan,Manhattan,2,3,2019,15,2,3,2019,15,ManhattanManhattan
687,1,3.6,16.5,2.0,0.0,22.3,yellow,credit card,Upper West Side South,Union Sq,Manhattan,Manhattan,4,3,2019,23,4,3,2019,23,ManhattanManhattan
688,5,0.69,5.0,0.0,0.0,8.8,yellow,cash,Flatiron,Greenwich Village North,Manhattan,Manhattan,0,3,2019,22,0,3,2019,22,ManhattanManhattan
689,2,0.26,4.0,2.34,0.0,10.14,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan,4,3,2019,21,4,3,2019,21,ManhattanManhattan
690,1,3.35,14.0,0.0,0.0,17.3,yellow,cash,Penn Station/Madison Sq West,Financial District North,Manhattan,Manhattan,6,3,2019,14,6,3,2019,14,ManhattanManhattan
691,1,1.4,8.0,2.95,0.0,14.75,yellow,credit card,Midtown South,Midtown Center,Manhattan,Manhattan,5,3,2019,21,5,3,2019,21,ManhattanManhattan
692,1,1.43,8.0,0.0,0.0,11.3,yellow,cash,Midtown South,Kips Bay,Manhattan,Manhattan,4,3,2019,11,4,3,2019,11,ManhattanManhattan
693,1,0.64,4.5,0.0,0.0,7.8,yellow,cash,Upper West Side North,Upper West Side South,Manhattan,Manhattan,6,3,2019,8,6,3,2019,8,ManhattanManhattan
694,1,7.0,28.5,6.35,0.0,38.15,yellow,credit card,Brooklyn Heights,Midtown East,Brooklyn,Manhattan,2,3,2019,11,2,3,2019,11,BrooklynManhattan
696,1,1.94,13.0,4.08,0.0,20.38,yellow,credit card,Upper East Side North,Midtown Center,Manhattan,Manhattan,2,3,2019,11,2,3,2019,12,ManhattanManhattan
697,1,1.15,8.5,2.36,0.0,14.16,yellow,credit card,Upper East Side South,Midtown East,Manhattan,Manhattan,2,3,2019,14,2,3,2019,15,ManhattanManhattan
698,2,3.21,17.5,4.16,0.0,24.96,yellow,credit card,Times Sq/Theatre District,Yorkville West,Manhattan,Manhattan,3,3,2019,13,3,3,2019,13,ManhattanManhattan
699,1,3.7,15.0,0.0,0.0,18.3,yellow,cash,Astoria,UN/Turtle Bay South,Queens,Manhattan,0,3,2019,9,0,3,2019,9,QueensManhattan
700,1,1.33,7.5,2.26,0.0,13.56,yellow,credit card,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan,1,3,2019,22,1,3,2019,22,ManhattanManhattan
701,1,1.0,5.0,1.85,0.0,11.15,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan,3,3,2019,19,3,3,2019,19,ManhattanManhattan
702,1,1.6,9.0,2.55,0.0,15.35,yellow,credit card,Clinton East,Upper West Side North,Manhattan,Manhattan,2,3,2019,22,2,3,2019,22,ManhattanManhattan
703,1,1.26,6.5,0.0,0.0,7.3,yellow,cash,Sunnyside,Astoria,Queens,Queens,4,3,2019,6,4,3,2019,6,QueensQueens
704,1,0.6,5.0,1.65,0.0,9.95,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan,5,3,2019,16,5,3,2019,16,ManhattanManhattan
705,1,0.76,6.0,1.96,0.0,11.76,yellow,credit card,Lincoln Square East,Lincoln Square East,Manhattan,Manhattan,6,3,2019,21,6,3,2019,21,ManhattanManhattan
706,1,1.81,9.0,0.0,0.0,12.8,yellow,cash,Lincoln Square East,Upper East Side South,Manhattan,Manhattan,3,3,2019,23,3,3,2019,23,ManhattanManhattan
707,3,1.73,9.0,2.66,0.0,15.96,yellow,credit card,East Village,UN/Turtle Bay South,Manhattan,Manhattan,4,3,2019,19,4,3,2019,19,ManhattanManhattan
708,1,3.04,19.0,4.46,0.0,26.76,yellow,credit card,Manhattan Valley,Midtown Center,Manhattan,Manhattan,3,3,2019,14,3,3,2019,15,ManhattanManhattan
709,5,0.95,7.5,2.26,0.0,13.56,yellow,credit card,Midtown South,Kips Bay,Manhattan,Manhattan,5,3,2019,0,5,3,2019,0,ManhattanManhattan
710,1,1.31,9.0,0.0,0.0,12.3,yellow,cash,Midtown North,Midtown South,Manhattan,Manhattan,5,3,2019,19,5,3,2019,19,ManhattanManhattan
713,1,1.3,7.5,1.2,0.0,12.0,yellow,credit card,West Village,West Chelsea/Hudson Yards,Manhattan,Manhattan,4,3,2019,12,4,3,2019,12,ManhattanManhattan
714,1,1.9,10.0,3.55,0.0,17.85,yellow,credit card,Midtown East,Upper East Side North,Manhattan,Manhattan,1,3,2019,17,1,3,2019,18,ManhattanManhattan
715,1,3.8,16.5,1.5,0.0,21.8,yellow,credit card,Lower East Side,Bushwick South,Manhattan,Brooklyn,5,3,2019,23,6,3,2019,0,ManhattanBrooklyn
716,1,0.67,5.0,1.76,0.0,10.56,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan,3,3,2019,0,3,3,2019,0,ManhattanManhattan
717,6,5.26,17.5,0.0,0.0,20.8,yellow,cash,Midtown South,Financial District South,Manhattan,Manhattan,5,3,2019,9,5,3,2019,9,ManhattanManhattan
718,1,1.53,12.5,0.0,0.0,15.8,yellow,cash,Upper West Side South,Midtown Center,Manhattan,Manhattan,3,3,2019,14,3,3,2019,14,ManhattanManhattan
719,1,10.97,33.0,10.52,5.76,52.58,yellow,credit card,Upper East Side South,LaGuardia Airport,Manhattan,Queens,6,3,2019,11,6,3,2019,11,ManhattanQueens
720,1,7.43,24.5,5.66,0.0,33.96,yellow,credit card,TriBeCa/Civic Center,East Harlem South,Manhattan,Manhattan,1,3,2019,20,1,3,2019,20,ManhattanManhattan
721,1,1.55,9.5,2.56,0.0,15.36,yellow,credit card,East Village,East Chelsea,Manhattan,Manhattan,5,3,2019,18,5,3,2019,18,ManhattanManhattan
722,2,2.16,12.5,3.16,0.0,18.96,yellow,credit card,Lincoln Square West,Central Park,Manhattan,Manhattan,2,3,2019,9,2,3,2019,10,ManhattanManhattan
723,2,1.0,6.0,1.5,0.0,11.3,yellow,credit card,Union Sq,East Chelsea,Manhattan,Manhattan,4,3,2019,20,4,3,2019,20,ManhattanManhattan
724,1,0.96,5.0,0.0,0.0,8.3,yellow,cash,Murray Hill,Midtown East,Manhattan,Manhattan,2,3,2019,6,2,3,2019,6,ManhattanManhattan
725,1,0.3,4.5,0.0,0.0,8.8,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan,2,3,2019,16,2,3,2019,16,ManhattanManhattan
726,6,2.6,11.0,2.86,0.0,17.16,yellow,credit card,Times Sq/Theatre District,Upper West Side North,Manhattan,Manhattan,0,3,2019,20,0,3,2019,21,ManhattanManhattan
727,1,18.86,52.0,10.0,5.76,71.06,yellow,credit card,JFK Airport,West Village,Queens,Manhattan,1,3,2019,23,1,3,2019,23,QueensManhattan
728,4,2.57,13.5,0.0,0.0,16.8,yellow,cash,Clinton East,Greenwich Village North,Manhattan,Manhattan,4,3,2019,14,4,3,2019,14,ManhattanManhattan
729,5,2.28,14.0,2.0,0.0,19.3,yellow,credit card,Upper West Side South,Clinton East,Manhattan,Manhattan,4,3,2019,9,4,3,2019,9,ManhattanManhattan
730,2,4.4,16.5,4.06,0.0,24.36,yellow,credit card,Midtown Center,East Village,Manhattan,Manhattan,1,3,2019,22,1,3,2019,22,ManhattanManhattan
731,4,10.28,32.5,8.31,5.76,49.87,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan,2,3,2019,10,2,3,2019,11,QueensManhattan
732,2,1.3,9.5,2.75,0.0,16.55,yellow,credit card,Midtown Center,Clinton East,Manhattan,Manhattan,4,3,2019,17,4,3,2019,17,ManhattanManhattan
733,2,1.9,10.0,2.0,0.0,15.3,yellow,credit card,Manhattan Valley,Upper East Side North,Manhattan,Manhattan,2,3,2019,12,2,3,2019,12,ManhattanManhattan
734,1,1.75,9.5,2.66,0.0,15.96,yellow,credit card,Midtown East,Gramercy,Manhattan,Manhattan,2,3,2019,20,2,3,2019,20,ManhattanManhattan
735,5,2.57,13.5,0.0,0.0,16.8,yellow,cash,Lenox Hill East,Upper West Side South,Manhattan,Manhattan,0,3,2019,14,0,3,2019,15,ManhattanManhattan
736,1,4.5,18.0,0.0,0.0,22.3,yellow,cash,Midtown East,Upper West Side North,Manhattan,Manhattan,4,3,2019,19,4,3,2019,20,ManhattanManhattan
737,1,0.43,4.5,1.66,0.0,9.96,yellow,credit card,Hudson Sq,SoHo,Manhattan,Manhattan,4,3,2019,0,4,3,2019,0,ManhattanManhattan
738,1,1.9,10.5,2.0,0.0,15.8,yellow,credit card,East Harlem South,Lenox Hill West,Manhattan,Manhattan,3,3,2019,7,3,3,2019,8,ManhattanManhattan
740,1,0.9,5.5,1.76,0.0,10.56,yellow,credit card,Flatiron,Midtown South,Manhattan,Manhattan,6,3,2019,11,6,3,2019,11,ManhattanManhattan
741,2,0.92,6.0,0.0,0.0,9.8,yellow,cash,Lincoln Square East,Midtown North,Manhattan,Manhattan,1,3,2019,22,1,3,2019,22,ManhattanManhattan
742,1,1.32,8.5,0.0,0.0,11.8,yellow,cash,Greenwich Village North,Murray Hill,Manhattan,Manhattan,1,3,2019,9,1,3,2019,10,ManhattanManhattan
743,1,1.5,9.0,2.46,0.0,14.76,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan,3,3,2019,10,3,3,2019,10,ManhattanManhattan
744,2,1.7,10.5,0.0,0.0,14.3,yellow,cash,Greenwich Village South,Flatiron,Manhattan,Manhattan,5,3,2019,22,5,3,2019,22,ManhattanManhattan
745,1,16.11,44.0,13.26,5.76,66.32,yellow,credit card,Battery Park City,LaGuardia Airport,Manhattan,Queens,5,3,2019,12,5,3,2019,13,ManhattanQueens
746,1,2.59,10.5,1.0,0.0,15.3,yellow,credit card,Garment District,East Village,Manhattan,Manhattan,0,3,2019,22,0,3,2019,22,ManhattanManhattan
747,1,1.5,8.5,2.35,0.0,14.15,yellow,credit card,Clinton East,Murray Hill,Manhattan,Manhattan,0,3,2019,6,0,3,2019,6,ManhattanManhattan
748,2,0.44,3.5,1.46,0.0,8.76,yellow,credit card,Midtown South,Union Sq,Manhattan,Manhattan,6,3,2019,22,6,3,2019,23,ManhattanManhattan
749,1,0.66,7.5,0.0,0.0,10.8,yellow,cash,Penn Station/Madison Sq West,Garment District,Manhattan,Manhattan,4,3,2019,15,4,3,2019,15,ManhattanManhattan
750,2,1.7,10.0,0.0,0.0,14.3,yellow,cash,Murray Hill,Clinton West,Manhattan,Manhattan,4,3,2019,16,4,3,2019,16,ManhattanManhattan
751,1,1.42,7.5,1.2,0.0,12.0,yellow,credit card,Upper West Side South,Lincoln Square East,Manhattan,Manhattan,2,3,2019,10,2,3,2019,10,ManhattanManhattan
752,1,0.4,5.0,0.0,0.0,9.3,yellow,cash,Greenwich Village South,Little Italy/NoLiTa,Manhattan,Manhattan,3,3,2019,18,3,3,2019,18,ManhattanManhattan
753,1,2.64,11.0,3.7,0.0,18.5,yellow,credit card,Midtown North,Upper East Side North,Manhattan,Manhattan,2,3,2019,22,2,3,2019,22,ManhattanManhattan
754,2,2.09,10.0,3.45,0.0,17.25,yellow,credit card,Flatiron,Alphabet City,Manhattan,Manhattan,3,3,2019,23,3,3,2019,23,ManhattanManhattan
755,4,0.66,4.5,1.66,0.0,9.96,yellow,credit card,Lenox Hill East,Yorkville West,Manhattan,Manhattan,2,3,2019,21,2,3,2019,21,ManhattanManhattan
756,5,1.48,10.0,0.0,0.0,14.3,yellow,cash,Garment District,Midtown South,Manhattan,Manhattan,4,3,2019,18,4,3,2019,19,ManhattanManhattan
757,1,9.98,33.0,0.0,0.0,33.8,yellow,cash,JFK Airport,East New York,Queens,Brooklyn,6,3,2019,19,6,3,2019,19,QueensBrooklyn
758,1,0.87,6.0,1.86,0.0,11.16,yellow,credit card,East Village,Gramercy,Manhattan,Manhattan,1,3,2019,14,1,3,2019,15,ManhattanManhattan
759,1,2.0,10.5,3.45,0.0,17.25,yellow,credit card,Penn Station/Madison Sq West,Greenwich Village South,Manhattan,Manhattan,1,3,2019,14,1,3,2019,14,ManhattanManhattan
760,1,11.49,35.5,11.39,5.76,56.95,yellow,credit card,LaGuardia Airport,Midtown North,Queens,Manhattan,1,3,2019,19,1,3,2019,20,QueensManhattan
761,1,4.18,15.0,3.66,0.0,21.96,yellow,credit card,Lenox Hill East,Alphabet City,Manhattan,Manhattan,4,3,2019,15,4,3,2019,15,ManhattanManhattan
762,2,3.2,10.5,0.0,0.0,14.3,yellow,cash,UN/Turtle Bay South,East Harlem South,Manhattan,Manhattan,5,3,2019,2,5,3,2019,2,ManhattanManhattan
763,2,1.9,13.0,0.0,0.0,16.3,yellow,cash,Midtown Center,Upper East Side North,Manhattan,Manhattan,2,3,2019,10,2,3,2019,11,ManhattanManhattan
764,1,0.67,4.5,1.0,0.0,9.8,yellow,credit card,Midtown North,Midtown Center,Manhattan,Manhattan,4,3,2019,18,4,3,2019,18,ManhattanManhattan
765,1,1.1,6.0,1.86,0.0,11.16,yellow,credit card,TriBeCa/Civic Center,Battery Park City,Manhattan,Manhattan,6,3,2019,19,6,3,2019,19,ManhattanManhattan
